
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
2800,Auto Enable,-0.250,-0.250,0.340,0.014,TRUE,31.826,33.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.125,11.550,8.594,10.850,10.469,
2850,Auto Enable,-0.250,-0.250,0.390,2.010,TRUE,32.236,34.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,11.550,8.688,10.850,10.500,
2900,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,32.851,34.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,11.550,8.688,10.850,10.500,
2950,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,33.300,35.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.688,10.850,10.500,
3000,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,34.005,36.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
3050,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,34.723,36.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
3100,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,35.222,37.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
3150,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,35.953,38.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.850,10.500,
3200,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,36.453,38.811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.781,10.850,10.500,
3250,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,37.209,39.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
3300,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,37.696,40.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
3350,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,38.478,41.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.781,10.800,10.469,
3400,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,39.004,41.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.688,10.800,10.500,
3450,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,39.798,42.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.688,10.850,10.500,
3500,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,40.337,43.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
3550,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,41.131,44.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
