Sat.Feb.11.2017.6.36.PM
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,

5100,Tele Enable,-0.000,-0.000,0.000,0.000,FALSE,-15.484,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5150,Tele Enable,-0.000,-0.000,0.000,0.000,FALSE,-15.496,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5200,Tele Enable,-0.000,-0.000,0.000,0.000,FALSE,-15.509,12.869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5250,Tele Enable,-0.000,-0.000,0.000,0.000,FALSE,-15.509,12.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5300,Tele Enable,-0.000,-0.000,0.000,0.000,FALSE,-15.522,12.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
5350,Tele Enable,-0.004,-0.000,0.000,0.000,FALSE,-15.509,12.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5400,Tele Enable,-0.010,-0.000,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5450,Tele Enable,-0.027,-0.010,0.000,0.000,FALSE,-15.509,12.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5500,Tele Enable,-0.052,-0.027,0.000,0.000,FALSE,-15.509,12.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5550,Tele Enable,-0.060,-0.033,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
5600,Tele Enable,-0.060,-0.052,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5650,Tele Enable,-0.072,-0.052,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5700,Tele Enable,-0.104,-0.131,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
5750,Tele Enable,-0.149,-0.149,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5800,Tele Enable,-0.181,-0.161,0.000,0.000,FALSE,-15.509,12.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
5850,Tele Enable,-0.120,-0.120,0.000,0.000,FALSE,-15.484,12.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
5900,Tele Enable,-0.042,-0.060,0.000,0.000,FALSE,-15.458,13.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
5950,Tele Enable,-0.027,-0.060,0.000,0.000,FALSE,-15.445,12.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6000,Tele Enable,-0.020,-0.149,0.000,0.000,FALSE,-15.484,12.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6050,Tele Enable,-0.072,-0.181,0.000,0.000,FALSE,-15.471,12.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6100,Tele Enable,-0.131,-0.181,0.000,0.000,FALSE,-15.419,12.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.050,
6150,Tele Enable,-0.181,-0.181,0.000,0.000,FALSE,-15.407,13.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6200,Tele Enable,-0.181,-0.181,0.000,0.000,FALSE,-15.407,13.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6250,Tele Enable,-0.052,-0.072,0.000,0.000,FALSE,-15.368,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6300,Tele Enable,-0.027,-0.042,0.000,0.000,FALSE,-15.304,13.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6350,Tele Enable,-0.027,-0.033,0.000,0.000,FALSE,-15.317,13.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
6400,Tele Enable,-0.008,-0.020,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
6450,Tele Enable,-0.002,-0.016,0.000,0.000,FALSE,-15.317,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6500,Tele Enable,-0.000,-0.002,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6550,Tele Enable,0.000,-0.001,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
6600,Tele Enable,0.000,-0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6650,Tele Enable,0.000,-0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6700,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6750,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6800,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6850,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
6900,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
6950,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7000,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7050,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.317,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
7100,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.317,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
7150,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
7200,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.317,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7250,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7300,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
7350,Tele Enable,0.000,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
7400,Tele Enable,0.001,0.000,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7450,Tele Enable,0.012,0.009,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
7500,Tele Enable,0.080,0.039,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7550,Tele Enable,0.090,0.039,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
7600,Tele Enable,0.090,0.039,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.200,
7650,Tele Enable,0.042,0.009,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
7700,Tele Enable,0.027,0.009,0.000,0.000,FALSE,-15.330,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,
7750,Tele Enable,0.016,0.005,0.000,0.000,FALSE,-15.317,13.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.150,
